Timestamp,età,Altezza (cm),Numero scarpa ,Peso (kg),Colore occhi,Genere,Interesse per la statistica
9/25/2025 14:13:58,20,170,41,< 55,castano,M,alto
9/25/2025 16:00:55,> 25,165,37,< 55,castano,F,medio
9/25/2025 16:01:06,21,171,41,65 - 69,castano,M,alto
9/25/2025 16:01:09,19,175,42,55 - 59,castano,M,medio
9/25/2025 16:01:09,19,188,46,60 - 64,grigio,NB,bassissimo
9/25/2025 16:01:11,24,176,44,75 - 79,castano,M,altissimo
9/25/2025 16:01:14,20,161,35,< 55,verde,F,altissimo
9/25/2025 16:01:14,21,188,45,95 - 99,castano,M,alto
9/25/2025 16:01:15,21,185,48,> 99,verde,M,alto
9/25/2025 16:01:15,19,187,44,80 - 84,castano,M,medio
9/25/2025 16:01:19,20,175,41,60 - 64,castano,M,medio
9/25/2025 16:01:20,19,175,42,65 - 69,castano,M,medio
9/25/2025 16:01:21,21,183,43,60 - 64,castano,M,medio
9/25/2025 16:01:25,20,178,42,60 - 64,blu,M,medio
9/25/2025 16:01:26,20,158,37,< 55,blu,F,medio
9/25/2025 16:01:27,21,186,46,80 - 84,castano,M,alto
9/25/2025 16:01:28,20,172,42,70 - 74,castano,M,alto
9/25/2025 16:01:28,21,160,38,< 55,castano,F,medio
9/25/2025 16:01:28,19,178,44,65 - 69,verde,M,medio
9/25/2025 16:01:29,20,180,43,70 - 74,blu,M,bassissimo
9/25/2025 16:01:32,20,170,44,60 - 64,castano,M,basso
9/25/2025 16:01:34,20,178,44,70 - 74,castano,M,alto
9/25/2025 16:01:35,22,171,43,60 - 64,verde,M,medio
9/25/2025 16:01:35,22,177,44,70 - 74,castano,M,medio
9/25/2025 16:01:39,20,170,41,< 55,castano,NB,alto
9/25/2025 16:01:42,23,180,47,80 - 84,castano,M,alto
9/25/2025 16:01:43,19,183,43,80 - 84,castano,M,basso
9/25/2025 16:01:44,21,1.8,42,75 - 79,castano,M,basso
9/25/2025 16:01:46,20,155,36,< 55,castano,F,basso
9/25/2025 16:01:53,20,168,38,60 - 64,castano,F,basso
9/25/2025 16:01:55,20,179,45,75 - 79,castano,M,medio
9/25/2025 16:01:59,20,182,45,95 - 99,castano,M,medio
9/25/2025 16:02:03,20,185,43,60 - 64,castano,M,basso
9/25/2025 16:02:04,19,1.5,38,65 - 69,castano,F,medio
9/25/2025 16:02:05,21,160,39,55 - 59,blu,F,basso
9/25/2025 16:02:05,20,180,43,70 - 74,castano,M,medio
9/25/2025 16:02:06,20,170,40,60 - 64,castano,F,medio
9/25/2025 16:02:06,19,174,43,70 - 74,castano,M,alto
9/25/2025 16:02:08,20,162,39,55 - 59,castano,F,medio
9/25/2025 16:02:12,22,1.6,36,55 - 59,castano,F,medio
9/25/2025 16:02:12,20,175,41,60 - 64,verde,F,basso
9/25/2025 16:02:12,20,180,45,55 - 59,blu,M,medio
9/25/2025 16:02:15,20,170,40,< 55,grigio,M,medio
9/25/2025 16:02:32,25,172,42,60 - 64,blu,M,alto
9/25/2025 16:02:37,21,177,42,70 - 74,castano,M,medio
9/25/2025 16:02:41,19,185,45,90 - 94,castano,M,medio
